condition,symptom,probability
Abdominal aortic aneurysm,arm_swelling,7.0
Abdominal aortic aneurysm,back_pain,35.0
Abdominal aortic aneurysm,burning_abdominal_pain,23.0
Abdominal aortic aneurysm,groin_pain,7.0
Abdominal aortic aneurysm,pallor,7.0
Abdominal aortic aneurysm,palpitations,13.0
Abdominal aortic aneurysm,retention_of_urine,13.0
Abdominal aortic aneurysm,sharp_abdominal_pain,53.0
Abdominal aortic aneurysm,sharp_chest_pain,28.0
Abdominal aortic aneurysm,shortness_of_breath,28.0
Abdominal aortic aneurysm,side_pain,23.0
Abdominal aortic aneurysm,swollen_abdomen,13.0
Abdominal hernia,ache_all_over,29.0
Abdominal hernia,groin_mass,32.0
Abdominal hernia,groin_pain,21.0
Abdominal hernia,infant_spitting_up,2.0
Abdominal hernia,irregular_belly_button,18.0
Abdominal hernia,lower_abdominal_pain,21.0
Abdominal hernia,regurgitation,6.0
Abdominal hernia,sharp_abdominal_pain,65.0
Abdominal hernia,swelling_of_scrotum,2.0
Abdominal hernia,swollen_abdomen,12.0
Abdominal hernia,symptoms_of_the_scrotum_and_testes,2.0
Abdominal hernia,upper_abdominal_pain,23.0
Abscess of nose,abnormal_breathing_sounds,20.0
Abscess of nose,coryza,44.0
Abscess of nose,cough,73.0
Abscess of nose,decreased_appetite,20.0
Abscess of nose,ear_pain,24.0
Abscess of nose,fever,62.0
Abscess of nose,headache,24.0
Abscess of nose,irritable_infant,20.0
Abscess of nose,nasal_congestion,84.0
Abscess of nose,sinus_congestion,28.0
Abscess of nose,sore_throat,31.0
Abscess of nose,vomiting,24.0
Abscess of the lung,back_pain,54.0
Abscess of the lung,cough,81.0
Abscess of the lung,depressive_or_psychotic_symptoms,54.0
Abscess of the lung,drainage_in_throat,54.0
Abscess of the lung,excessive_growth,5.0
Abscess of the lung,headache,54.0
Abscess of the lung,hemoptysis,54.0
Abscess of the lung,itchy_eyelid,5.0
Abscess of the lung,sharp_chest_pain,72.0
Abscess of the lung,shortness_of_breath,72.0
Abscess of the lung,vomiting,54.0
Abscess of the lung,wrist_weakness,5.0
Abscess of the pharynx,allergic_reaction,27.0
Abscess of the pharynx,cough,51.0
Abscess of the pharynx,coughing_up_sputum,27.0
Abscess of the pharynx,difficulty_in_swallowing,48.0
Abscess of the pharynx,ear_pain,34.0
Abscess of the pharynx,feeling_ill,20.0
Abscess of the pharynx,fever,69.0
Abscess of the pharynx,headache,34.0
Abscess of the pharynx,nasal_congestion,58.0
Abscess of the pharynx,sharp_chest_pain,27.0
Abscess of the pharynx,sore_throat,83.0
Abscess of the pharynx,throat_swelling,20.0
Acanthosis nigricans,acne_or_pimples,17.0
Acanthosis nigricans,allergic_reaction,17.0
Acanthosis nigricans,apnea,9.0
